comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
"Lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran","lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran",lupanama bukanitu di kepala syasimpan seluruh tasbih dan alquran,lupanama bukanitu di kepala syasimpan seluruh tasbih dan alquran,"['lupanama', 'bukanitu', 'di', 'kepala', 'syasimpan', 'seluruh', 'tasbih', 'dan', 'alquran']","['lupanama', 'bukanitu', 'kepala', 'syasimpan', 'tasbih', 'alquran']"
Seketika smua merasa tahu bjorkan😅😅😅😅😅,seketika smua merasa tahu bjorkan😅😅😅😅😅,seketika smua merasa tahu bjorkan,seketika semua merasa tahu bjorkan,"['seketika', 'semua', 'merasa', 'tahu', 'bjorkan']",['bjorkan']
Udah ga gondrong bang,udah ga gondrong bang,udah ga gondrong bang,sudah enggak gondrong bang,"['sudah', 'enggak', 'gondrong', 'bang']","['gondrong', 'bang']"
"ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...","ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...",ketika gw denger pertama kali gw reflect bilang mana ada tapi setelah dipikir pikir iya juga ya,ketika gue dengar pertama kali gue reflect bilang mana ada tapi setelah dipikir pikir iya juga ya,"['ketika', 'gue', 'dengar', 'pertama', 'kali', 'gue', 'reflect', 'bilang', 'mana', 'ada', 'tapi', 'setelah', 'dipikir', 'pikir', 'iya', 'juga', 'ya']","['gue', 'dengar', 'kali', 'gue', 'reflect', 'bilang', 'dipikir', 'pikir', 'iya', 'ya']"
"junkyyy, keliatan  bgt aura pemakai sabu hahha","junkyyy, keliatan  bgt aura pemakai sabu hahha",junkyyy keliatan bgt aura pemakai sabu hahha,junkyyy kelihatan banget aura pemakai sabu hahha,"['junkyyy', 'kelihatan', 'banget', 'aura', 'pemakai', 'sabu', 'hahha']","['junkyyy', 'banget', 'aura', 'pemakai', 'sabu', 'hahha']"
"Dari pada uangnya di update utk keamanan, lebih baik masuk kantong. Mungkin itu yg di otak/pikiran pemerintah! 💩","dari pada uangnya di update utk keamanan, lebih baik masuk kantong. mungkin itu yg di otak/pikiran pemerintah! 💩",dari pada uangnya di update utk keamanan lebih baik masuk kantong mungkin itu yg di otakpikiran pemerintah,dari pada uangnya di update untuk keamanan lebih baik masuk kantong mungkin itu yang di otakpikiran pemerintah,"['dari', 'pada', 'uangnya', 'di', 'update', 'untuk', 'keamanan', 'lebih', 'baik', 'masuk', 'kantong', 'mungkin', 'itu', 'yang', 'di', 'otakpikiran', 'pemerintah']","['uangnya', 'update', 'keamanan', 'masuk', 'kantong', 'otakpikiran', 'pemerintah']"
Faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup,faktanya banyak orang yang tidak tau kalo bjorka itu orang dalam pejabat korup,"['faktanya', 'banyak', 'orang', 'yang', 'tidak', 'tau', 'kalo', 'bjorka', 'itu', 'orang', 'dalam', 'pejabat', 'korup']","['faktanya', 'orang', 'tau', 'kalo', 'bjorka', 'orang', 'pejabat', 'korup']"
11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar gua di ceritain sama salah satu nya dari kalimantanemang keren kebetulan mereka sama sama di jogja kuliah,iya benar ketahuan saat mau beli mobil sport pakai kartu kredit orang luar gua di ceritain sama salah satu nya dari kalimantanemang keren kebetulan mereka sama sama di jogja kuliah,"['iya', 'benar', 'ketahuan', 'saat', 'mau', 'beli', 'mobil', 'sport', 'pakai', 'kartu', 'kredit', 'orang', 'luar', 'gua', 'di', 'ceritain', 'sama', 'salah', 'satu', 'nya', 'dari', 'kalimantanemang', 'keren', 'kebetulan', 'mereka', 'sama', 'sama', 'di', 'jogja', 'kuliah']","['iya', 'ketahuan', 'beli', 'mobil', 'sport', 'pakai', 'kartu', 'kredit', 'orang', 'gua', 'ceritain', 'salah', 'nya', 'kalimantanemang', 'keren', 'jogja', 'kuliah']"
Bahas uang palsu yang ditemuin di ATM,bahas uang palsu yang ditemuin di atm,bahas uang palsu yang ditemuin di atm,bahas uang palsu yang ditemuin di atm,"['bahas', 'uang', 'palsu', 'yang', 'ditemuin', 'di', 'atm']","['bahas', 'uang', 'palsu', 'ditemuin', 'atm']"
Om mau tanya gmna cara hubungi White Hack Om. soalnya papa saya kena tipu om 🙏,om mau tanya gmna cara hubungi white hack om. soalnya papa saya kena tipu om 🙏,om mau tanya gmna cara hubungi white hack om soalnya papa saya kena tipu om,om mau tanya bagaimana cara hubungi white hack om soalnya papa saya kena tipu om,"['om', 'mau', 'tanya', 'bagaimana', 'cara', 'hubungi', 'white', 'hack', 'om', 'soalnya', 'papa', 'saya', 'kena', 'tipu', 'om']","['om', 'hubungi', 'white', 'hack', 'om', 'papa', 'kena', 'tipu', 'om']"
Tuan takur jago nangkep maling ayan😂😂😂,tuan takur jago nangkep maling ayan😂😂😂,tuan takur jago nangkep maling ayan,tuan takur jago nangkep maling ayan,"['tuan', 'takur', 'jago', 'nangkep', 'maling', 'ayan']","['tuan', 'takur', 'jago', 'nangkep', 'maling', 'ayan']"
cek di Dark Web.. kak banyak aktor disana,cek di dark web.. kak banyak aktor disana,cek di dark web kak banyak aktor disana,cek di dark web kak banyak aktor disana,"['cek', 'di', 'dark', 'web', 'kak', 'banyak', 'aktor', 'disana']","['cek', 'dark', 'web', 'kak', 'aktor', 'disana']"
"Pak Dedy, undang dr Tifa dunk","pak dedy, undang dr tifa dunk",pak dedy undang dr tifa dunk,pak dedy undang dari tifa dong,"['pak', 'dedy', 'undang', 'dari', 'tifa', 'dong']","['dedy', 'undang', 'tifa']"
"coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo","coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo",coba bintang tamunya aja yg nyari bjorka dh gausa aiueo,coba bintang tamunya saja yang mencari bjorka dah enggak usah aiueo,"['coba', 'bintang', 'tamunya', 'saja', 'yang', 'mencari', 'bjorka', 'dah', 'enggak', 'usah', 'aiueo']","['coba', 'bintang', 'tamunya', 'mencari', 'bjorka', 'dah', 'aiueo']"
