Document,comment,stemming_str,sentiment,tfidf
ulasan 1,"Lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran",lupanama bukanitu kepala syasimpan tasbih alquran,netral,lupanama:0.4252; bukanitu:0.4252; syasimpan:0.4252; tasbih:0.4252; alquran:0.4252; kepala:0.3096
ulasan 2,Seketika smua merasa tahu bjorkan😅😅😅😅😅,bjorkan,netral,bjorkan:1.0000
ulasan 3,Udah ga gondrong bang,gondrong bang,netral,gondrong:0.8481; bang:0.5298
ulasan 4,"ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...",gue dengar kali gue reflect bilang pikir pikir iya ya,positif,pikir:0.5582; reflect:0.4478; gue:0.3985; iya:0.2961; dengar:0.2894; bilang:0.2494; kali:0.2476; ya:0.1848
ulasan 5,"junkyyy, keliatan  bgt aura pemakai sabu hahha",junkyyy banget aura pakai sabu hahha,positif,junkyyy:0.4925; sabu:0.4703; hahha:0.4703; aura:0.4545; pakai:0.2371; banget:0.2287
ulasan 6,"Dari pada uangnya di update utk keamanan, lebih baik masuk kantong. Mungkin itu yg di otak/pikiran pemerintah! 💩",uang update aman masuk kantong otakpikiran perintah,netral,otakpikiran:0.5252; kantong:0.4610; update:0.4205; uang:0.3141; masuk:0.2977; aman:0.2954; perintah:0.2454
ulasan 7,Faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,fakta orang tau kalo bjorka orang jabat korup,negatif,orang:0.4943; fakta:0.4693; korup:0.4456; jabat:0.3762; tau:0.2915; kalo:0.2744; bjorka:0.1874
ulasan 8,11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,iya tahu beli mobil sport pakai kartu kredit orang gua ceritain salah nya kalimantanemang keren jogja kuliah,negatif,sport:0.3344; ceritain:0.3344; kalimantanemang:0.3344; kredit:0.2828; mobil:0.2745; jogja:0.2677; kartu:0.2620; kuliah:0.2594; tahu:0.2248; iya:0.2211
ulasan 9,Bahas uang palsu yang ditemuin di ATM,bahas uang palsu ditemuin atm,positif,ditemuin:0.5661; atm:0.5406; palsu:0.3858; bahas:0.3518; uang:0.3386
ulasan 10,Om mau tanya gmna cara hubungi White Hack Om. soalnya papa saya kena tipu om 🙏,om hubung white hack om papa kena tipu om,negatif,om:0.5862; papa:0.4402; hubung:0.3543; white:0.3428; hack:0.2724; tipu:0.2724; kena:0.2668
ulasan 11,Tuan takur jago nangkep maling ayan😂😂😂,tuan takur jago nangkep maling ayan,positif,tuan:0.5080; takur:0.5080; ayan:0.5080; jago:0.3023; maling:0.2941; nangkep:0.2186
ulasan 12,cek di Dark Web.. kak banyak aktor disana,cek dark web kak aktor sana,negatif,dark:0.4509; aktor:0.4387; kak:0.4132; sana:0.4132; cek:0.3691; web:0.3558
ulasan 13,"Pak Dedy, undang dr Tifa dunk",dedy undang tifa,positif,tifa:0.7623; dedy:0.4892; undang:0.4238
ulasan 14,"coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo",coba bintang tamu cari bjorka dah aiueo,negatif,aiueo:0.5480; dah:0.4563; bintang:0.3893; tamu:0.3789; coba:0.3113; cari:0.2739; bjorka:0.1563
