author,comment,likes,published_at,updated_at
@IskadarIskadar-y4o,"Lupanama ,bukanitu di kepala sya,simpan seluruh tasbih dan alquran",0,2026-01-24T13:16:15Z,2026-01-24T13:16:15Z
@globein1540,Seketika smua merasa tahu bjorkan😅😅😅😅😅,0,2026-01-23T22:02:28Z,2026-01-23T22:02:28Z
@semutjantan5706,Udah ga gondrong bang,0,2026-01-22T23:35:13Z,2026-01-22T23:35:13Z
@fadlymooh7081,"ketika gw denger pertama kali gw reflect bilang ""mana ada"", tapi setelah dipikir pikir iya juga ya...",1,2026-01-20T01:44:42Z,2026-01-20T01:44:42Z
@dandyardika3909,"junkyyy, keliatan  bgt aura pemakai sabu hahha",0,2026-01-13T12:02:08Z,2026-01-13T12:02:08Z
@adinata_wjy,"Dari pada uangnya di update utk keamanan, lebih baik masuk kantong. Mungkin itu yg di otak/pikiran pemerintah! 💩",0,2026-01-11T08:05:21Z,2026-01-11T08:05:21Z
@NurisFirdaus-fv7lj,Faktanya banyak orang yg tidak tau kalo bjorka itu orang dalam pejabat korup🤫,1,2026-01-04T19:39:05Z,2026-01-04T19:39:05Z
@penikmatpekat5401,11:28  iya bener ketahuan saat mau beli mobil sport pake kartu kredit orang luar ....gua di ceritain sama salah satu nya dari kalimantan....emang keren kebetulan mereka sama sama di jogja kuliah,0,2026-01-02T20:10:29Z,2026-01-02T20:10:29Z
@nebulaharis,Bahas uang palsu yang ditemuin di ATM,0,2025-12-27T18:49:50Z,2025-12-27T18:49:50Z
@anggakurniaputera9571,Om mau tanya gmna cara hubungi White Hack Om. soalnya papa saya kena tipu om 🙏,0,2025-12-27T03:20:47Z,2025-12-27T03:20:47Z
@ImamSb-b9s,Tuan takur jago nangkep maling ayan😂😂😂,0,2025-12-24T21:54:50Z,2025-12-24T21:54:50Z
@PutarIQ,cek di Dark Web.. kak banyak aktor disana,0,2025-12-24T15:48:38Z,2025-12-24T15:48:38Z
@c_arkan222,"Pak Dedy, undang dr Tifa dunk",0,2025-12-23T04:29:09Z,2025-12-23T04:29:09Z
@boynanda7935,"coba bintang tamunya aja yg nyari bjorka dh, gausa aiueo",0,2025-12-20T20:56:01Z,2025-12-20T20:56:01Z
